vendor,total_authorized,total_ordered,num_contracts,departments,categories,utilization,source
GALLAGHER BENEFIT SERVICES INC,2800000.0,530416.69,1,Parks & Recreation,Non-Professional Services,18.9,Professional Services
"JPMORGAN CHASE BANK, N.A.",2600000.0,0.0,1,Planning Dept,Non-Professional Services,0.0,Professional Services
"ENNIS-FLINT, INC.",2600000.0,73750.0,1,Public Works — Capital Projects,Commodities (Goods),2.8,Professional Services
SAGELINE INC,2600000.0,437616.59,1,Office of Innovation,Non-Professional Services,16.8,Professional Services
KEEP AUSTIN BEAUTIFUL INC.,2521040.0,1777838.11,1,Austin Public Library,Non-Professional Services,70.5,Professional Services
TREEFOLKS INC,2521040.0,1777838.11,1,Austin Public Library,Non-Professional Services,70.5,Professional Services
THE TRAIL CONSERVANCY,2521040.0,1777838.11,1,Austin Public Library,Non-Professional Services,70.5,Professional Services
"BRYMER COMMUNICATION SERVICES, LLC",2500000.0,280000.0,1,Development Services,Non-Professional Services,11.2,Professional Services
POLYDYNE INC,2479130.0,238991.85,1,Transportation & Public Works,Commodities (Goods),9.6,Professional Services
NUECES FARM CENTER DBA NUECES POWER EQUIPMENT,2383080.0,599994.19,1,Austin Police Department,Non-Professional Services,25.2,Professional Services
"JERDON ENTERPRISE, LP",2362877.0,2362877.0,1,Austin Water Utility,Construction,100.0,Professional Services
LONGHORN INTERNATIONAL TRUCKS LTD,2332000.0,1400089.07,1,Austin Police Department,Commodities (Goods),60.0,Professional Services
COMMUNITY TRUCKING LLC,2230000.0,1533519.95,1,Transportation & Public Works,Commodities (Goods),68.8,Professional Services
"PROTA, INC.",2136347.0,2136347.0,1,Austin Water Utility,Construction,100.0,Professional Services
"SAYERS CONSTRUCTION, LLC",2051876.0,2051876.0,1,Austin Water Utility,Construction,100.0,Professional Services
"INTERMOUNTAIN SLURRY SEAL, INC.",2000000.0,0.0,1,Austin Water Utility,Construction,0.0,Professional Services
EIS DESIGN INC.,2000000.0,680199.89,1,Development Services,Sole and Single Source,34.0,Professional Services
"DOGGETT FREIGHTLINER OF SOUTH TEXAS, LLC",1951800.0,189632.2,1,Austin Police Department,Non-Professional Services,9.7,Professional Services
PORT ENTERPRISES LTD,1945000.0,1945000.0,1,Austin Water Utility,Construction,100.0,Professional Services
RESTEK INC,1700000.0,1347087.76,1,Austin Water Utility,Construction,79.2,Professional Services
"VANGUARD UTILITY SERVICE, INC.",1600000.0,1014889.76,1,Transportation & Public Works,Non-Professional Services,63.4,Professional Services
WILLIAMS SCOTSMAN INC,1583000.0,785052.04,1,Austin Public Health,Non-Professional Services,49.6,Professional Services
"MOBILE MINI, INC",1583000.0,785052.04,1,Austin Public Health,Non-Professional Services,49.6,Professional Services
KIEWIT INFRASTRUCTURE SOUTH CO.,1531693.61,1531693.61,1,Austin Water Utility,Construction,100.0,Professional Services
THE GOODMAN CORPORATION,1500000.0,429655.0,1,Economic Development,Professional Services,28.6,Professional Services
"MEND COLLABORATIVE, INC",1500000.0,429655.0,1,Economic Development,Professional Services,28.6,Professional Services
"PBK ARCHITECTS, INC.",1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
"ENGINEERED EXTERIORS, LLC",1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
