lgl_nm,total_spend,num_orders,vendor
FERGUSON ENTERPRISES INC,4390759.74,2493,FERGUSON ENTERPRISES INC
National Bus Sales & Leasing Inc,4382891.9,10,NATIONAL BUS SALES & LEASING INC
TEXAS HIGHWAY PRODUCTS LTD,4361187.25,275,TEXAS HIGHWAY PRODUCTS LTD
MCCAIN INC,4345200.9,93,MCCAIN INC
GRID SOLUTIONS (US) LLC,4344552.71,56,GRID SOLUTIONS (US) LLC
"Texas Materials Group, Inc.",4338688.88,178,"TEXAS MATERIALS GROUP, INC."
Charles Leo Walior,4277960.64,35,CHARLES LEO WALIOR
COUFAL-PRATER EQUIPMENT LLC,4217517.03,136,COUFAL-PRATER EQUIPMENT LLC
TELVENT USA LLC,4163247.0,10,TELVENT USA LLC
AutoZone Parts Inc.,4130900.46,50,AUTOZONE PARTS INC.
STRYKER CORP,4127728.64,116,STRYKER CORP
FACILITIES RESOURCE INC,4119937.97,172,FACILITIES RESOURCE INC
AMERICAN MATERIAL HANDLING INC,4117626.99,73,AMERICAN MATERIAL HANDLING INC
HD SUPPLY WATERWORKS LTD,4099816.73,3295,HD SUPPLY WATERWORKS LTD
JOHN BEAN TECHNOLOGIES CORPORATION,4094323.83,492,JOHN BEAN TECHNOLOGIES CORPORATION
"A & V Holdings Midco, LLC",4066944.95,212,"A & V HOLDINGS MIDCO, LLC"
"Mobotrex, Inc.",4058554.0,73,"MOBOTREX, INC."
Texas Lime Company,4014429.6,8,TEXAS LIME COMPANY
"ITS Plus, Inc.",4005460.0,66,"ITS PLUS, INC."
AFMA INC,3977227.11,654,AFMA INC
"ENNIS-FLINT, INC.",3973233.6,392,"ENNIS-FLINT, INC."
"Forsythe Brothers Infrastructure, LLC.",3956886.49,68,"FORSYTHE BROTHERS INFRASTRUCTURE, LLC."
THIRKETTLE CORPORATION,3898630.19,120,THIRKETTLE CORPORATION
BASF Corporation,3854755.06,101,BASF CORPORATION
VIEUX & ASSOCIATES INC,3847813.45,33,VIEUX & ASSOCIATES INC
"eClinicalWorks, LLC",3846304.89,21,"ECLINICALWORKS, LLC"
SHELTON-KELLER GROUP INC,3825599.66,135,SHELTON-KELLER GROUP INC
EWT HOLDINGS III CORP,3792774.97,254,EWT HOLDINGS III CORP
Seon Systems Sales Inc.,3779564.75,19,SEON SYSTEMS SALES INC.
FACILITIES REHABILITATION INC,3774900.0,1,FACILITIES REHABILITATION INC
SOUTHERN TIRE MART LLC,3747922.41,295,SOUTHERN TIRE MART LLC
Alfred Williams & Company,3744231.2,27,ALFRED WILLIAMS & COMPANY
BRIDGESTONE AMERICAS INC,3743824.38,25,BRIDGESTONE AMERICAS INC
AUSTIN RIBBON & COMPUTER,3674185.06,763,AUSTIN RIBBON & COMPUTER
PENCCO INC,3635806.72,413,PENCCO INC
CIMA SOLUTIONS GROUP LTD,3615175.2,35,CIMA SOLUTIONS GROUP LTD
DOOLEY TACKABERRY INC,3572468.13,654,DOOLEY TACKABERRY INC
CAPITOL BEARING SERVICE OF AUSTIN INC,3551113.26,315,CAPITOL BEARING SERVICE OF AUSTIN INC
"US PEROXIDE, LLC",3541273.6,54,"US PEROXIDE, LLC"
"TEQSYS, Inc.",3528874.61,26,"TEQSYS, INC."
"Smith Power Products, Inc.",3527502.15,84,"SMITH POWER PRODUCTS, INC."
PRECISION TASK GROUP INC,3459696.72,4,PRECISION TASK GROUP INC
"San Antonio Ambulance Sales, Inc.",3432871.01,10,"SAN ANTONIO AMBULANCE SALES, INC."
WEBBERVILLE PROPANE INC,3404202.69,167,WEBBERVILLE PROPANE INC
DEERE & CO,3379941.09,89,DEERE & CO
"Schneider Electric Smart Grid Solutions, LLC",3322994.6,16,"SCHNEIDER ELECTRIC SMART GRID SOLUTIONS, LLC"
SHANNON CHEMICAL CORP,3309445.71,150,SHANNON CHEMICAL CORP
TRAVIS COUNTY,3307264.67,49,TRAVIS COUNTY
ACUSHNET COMPANY,3269869.89,206,ACUSHNET COMPANY
QUADMED INC,3260995.28,1448,QUADMED INC
AVAYA INC,3247344.54,537,AVAYA INC
VWR INTERNATIONAL LLC,3234469.62,967,VWR INTERNATIONAL LLC
AUSTIN SCREEN PRINTING L P,3230148.35,1688,AUSTIN SCREEN PRINTING L P
