vendor,total_authorized,total_ordered,num_contracts,categories,utilization_pct
"CIVIL & ENVIRONMENTAL CONSULTANTS, INC.",6400000.0,5986267.8,1,Professional Services,93.5
ASSOCIATED CONSULTING ENGINEERS INC,6400000.0,5986267.8,1,Professional Services,93.5
"MCKIM & CREED, INC.",6300000.0,3883002.09,1,Sole and Single Source,61.6
BOWMAN CONSULTING GROUP LTD,6300000.0,3883002.09,1,Sole and Single Source,61.6
MCGRAY & MCGRAY LAND SURVEYORS INC,6300000.0,3883002.09,1,Sole and Single Source,61.6
LNV INC,6300000.0,3883002.09,1,Sole and Single Source,61.6
HEJL LEE & ASSOC INC,6300000.0,3883002.09,1,Sole and Single Source,61.6
ZAMORA LLC,6300000.0,3883002.09,1,Sole and Single Source,61.6
LANDMARK SURVEYING L P,6300000.0,3883002.09,1,Sole and Single Source,61.6
UNINTECH CONSULTING ENGINEERS INC,6300000.0,3883002.09,1,Sole and Single Source,61.6
LANDESIGN SERVICES INC,6300000.0,3883002.09,1,Sole and Single Source,61.6
ERGON ASPHALT & EMULSIONS INC,6250000.0,4183388.22,1,Commodities (Goods),66.9
METALLURGICAL ENGINEERING SERVICES INC,6000000.0,54529.56,1,Sole and Single Source,0.9
"INTERTEK USA, INC.",6000000.0,54529.56,1,Sole and Single Source,0.9
CEDAR HILLS CONSTRUCTION LLC,5531517.5,5531517.5,1,Construction,100.0
BURY HOLDINGS INC,5000000.0,4694846.66,1,Professional Services,93.9
KELLOGG BROWN & ROOT SERVICES INC,5000000.0,4694846.66,1,Professional Services,93.9
KELLOGG BROWN & ROOT LLC,5000000.0,4694846.66,1,Professional Services,93.9
"BURY+PARTNERS - HS&A, INC.",5000000.0,4694846.66,1,Professional Services,93.9
OTHON INC,5000000.0,4694846.66,1,Professional Services,93.9
"JKB CONSTRUCTION COMPANY, LLC",4849895.25,4849895.25,1,Construction,100.0
"ROGERS-O'BRIEN CONSTRUCTION COMPANY, LLC",4819039.39,4819039.39,1,Other Contracting,100.0
"T2 UES, INC.",4800000.0,0.0,1,Professional Services,0.0
"THE RIOS GROUP, INC.",4800000.0,0.0,1,Professional Services,0.0
BAER ENGINEERING & ENVIRONMENTAL CONSULTING INC,4800000.0,4381512.65,1,Professional Services,91.3
CONDY HOLDINGS LLC,4640000.0,1081074.61,1,Commodities (Goods),23.3
STUDIO 8 ARCHITECTS INC,4360986.13,4360986.13,1,Sole and Single Source,100.0
RS ELLIS INC,4157491.88,4157491.88,2,Construction,100.0
MIRO RIVERA-TATIANA BILBAO LLC,4090531.14,4090531.14,1,Other Contracting,100.0
GREAT WESTERN MANAGED SERVICES CORPORATION,4050000.0,2013499.51,1,Non-Professional Services,49.7
"BRIGHTVIEW LANDSCAPE SERVICES, INC.",4050000.0,2013499.51,1,Non-Professional Services,49.7
BLGY INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
H+UO ARCHITECTS LLP,4000000.0,3150902.7,1,Sole and Single Source,78.8
LIMBACHER & GODFREY INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
MCKINNEY ARCHITECTS INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
"THE LAWRENCE GROUP ARCHITECTS OF AUSTIN, INC.",4000000.0,3150902.7,1,Sole and Single Source,78.8
INTEGRAL LOGISTICS CORP,4000000.0,0.0,1,Commodities (Goods),0.0
THE LAWRENCE GROUP INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
STANLEY ARCHITECTS & ARTISANS INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
AUSTIN ARCHITECTURE PLUS INC,4000000.0,3150902.7,1,Sole and Single Source,78.8
EAR TELECOMMUNICATIONS LLC,3929029.5,929029.5,2,Construction,23.6
EARTHCO LANDSCAPE CONSTRUCTION LLC,3902000.0,1108109.28,1,Commodities (Goods),28.4
"STR CONSTRUCTORS, LLC",3501472.0,3501472.0,1,Construction,100.0
VACA UNDERGROUND UTILITIES INC,3468020.0,3468020.0,1,Construction,100.0
"MIDWEST VETERINARY SUPPLY, INC.",3300000.0,401847.0,1,Non-Professional Services,12.2
WA BUTLER COMPANY,3300000.0,401847.0,1,Non-Professional Services,12.2
BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC,3300000.0,401847.0,1,Non-Professional Services,12.2
"CHEMRITE, INC.",3287600.0,0.0,1,Commodities (Goods),0.0
CAPITOL AGGREGATES INC,3200000.0,231460.2,1,Commodities (Goods),7.2
SILVIA B KENIG INC,3066272.0,1985232.45,1,Non-Professional Services,64.7
"LEWIS CLARK TRUCKING,  LLC",2940000.0,1643456.76,1,Non-Professional Services,55.9
GALLAGHER BENEFIT SERVICES INC,2800000.0,530416.69,1,Non-Professional Services,18.9
"JPMORGAN CHASE BANK, N.A.",2600000.0,0.0,1,Non-Professional Services,0.0
"ENNIS-FLINT, INC.",2600000.0,73750.0,1,Commodities (Goods),2.8
SAGELINE INC,2600000.0,437616.59,1,Non-Professional Services,16.8
KEEP AUSTIN BEAUTIFUL INC.,2521040.0,1777838.11,1,Non-Professional Services,70.5
TREEFOLKS INC,2521040.0,1777838.11,1,Non-Professional Services,70.5
THE TRAIL CONSERVANCY,2521040.0,1777838.11,1,Non-Professional Services,70.5
"BRYMER COMMUNICATION SERVICES, LLC",2500000.0,280000.0,1,Non-Professional Services,11.2
POLYDYNE INC,2479130.0,238991.85,1,Commodities (Goods),9.6
NUECES FARM CENTER DBA NUECES POWER EQUIPMENT,2383080.0,599994.19,1,Non-Professional Services,25.2
"JERDON ENTERPRISE, LP",2362877.0,2362877.0,1,Construction,100.0
LONGHORN INTERNATIONAL TRUCKS LTD,2332000.0,1400089.07,1,Commodities (Goods),60.0
COMMUNITY TRUCKING LLC,2230000.0,1533519.95,1,Commodities (Goods),68.8
"PROTA, INC.",2136347.0,2136347.0,1,Construction,100.0
"SAYERS CONSTRUCTION, LLC",2051876.0,2051876.0,1,Construction,100.0
"INTERMOUNTAIN SLURRY SEAL, INC.",2000000.0,0.0,1,Construction,0.0
EIS DESIGN INC.,2000000.0,680199.89,1,Sole and Single Source,34.0
"DOGGETT FREIGHTLINER OF SOUTH TEXAS, LLC",1951800.0,189632.2,1,Non-Professional Services,9.7
PORT ENTERPRISES LTD,1945000.0,1945000.0,1,Construction,100.0
RESTEK INC,1700000.0,1347087.76,1,Construction,79.2
"VANGUARD UTILITY SERVICE, INC.",1600000.0,1014889.76,1,Non-Professional Services,63.4
WILLIAMS SCOTSMAN INC,1583000.0,785052.04,1,Non-Professional Services,49.6
"MOBILE MINI, INC",1583000.0,785052.04,1,Non-Professional Services,49.6
KIEWIT INFRASTRUCTURE SOUTH CO.,1531693.61,1531693.61,1,Construction,100.0
THE GOODMAN CORPORATION,1500000.0,429655.0,1,Professional Services,28.6
"MEND COLLABORATIVE, INC",1500000.0,429655.0,1,Professional Services,28.6
"PBK ARCHITECTS, INC.",1400000.0,447909.15,1,Professional Services,32.0
"ENGINEERED EXTERIORS, LLC",1400000.0,447909.15,1,Professional Services,32.0
"WISS, JANNEY, ELSTNER  ASSOCIATES INC",1400000.0,447909.15,1,Professional Services,32.0
BRAUN INTERTEC CORPORATION,1400000.0,447909.15,1,Professional Services,32.0
"AMTECH SOLUTIONS, INC.",1400000.0,447909.15,1,Professional Services,32.0
KITCHELL CORPORATION,1400000.0,447909.15,1,Professional Services,32.0
"MARMON MOK, LP",1374018.83,1374018.83,1,Sole and Single Source,100.0
"COLOR-AD, INC",1251216.0,1251216.0,1,Non-Professional Services,100.0
CBRE INC,1243000.0,1109000.0,1,Professional Services,89.2
CHEMTRADE CHEMICALS CORPORATION,1200000.0,170905.0,1,Commodities (Goods),14.2
CONVERGINT TECHNOLOGIES L L C,1200000.0,401429.16,1,Non-Professional Services,33.5
"UDELHOVEN, INC.",1199428.0,1199428.0,1,Commodities (Goods),100.0
