geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453002112,Census Tract 21.12,1.703455,6328,4078,2217,5236,33,1208.6,3714.8,64.4,35.0
48453031000,Census Tract 310,3.152354,6313,4426,1809,4981,78,1267.4,2002.6,70.1,28.7
48453002410,Census Tract 24.10,1.211486,6280,4255,1986,3542,39,1773.0,5183.7,67.8,31.6
48453040700,Census Tract 407,1.971513,6239,4078,2119,7248,42,860.8,3164.6,65.4,34.0
48453002452,Census Tract 24.52,9.010295,6215,4573,1582,2180,60,2850.9,689.8,73.6,25.5
48453002437,Census Tract 24.37,2.73096,6195,4282,1842,4432,71,1397.8,2268.4,69.1,29.7
48453002213,Census Tract 22.13,3.270957,6173,4356,1727,5253,90,1175.1,1887.2,70.6,28.0
48453037200,Census Tract 372,2.981249,6163,4334,1772,6211,57,992.3,2067.3,70.3,28.8
48453001602,Census Tract 16.02,2.637501,6144,3991,2062,3084,91,1992.2,2329.5,65.0,33.6
48453000803,Census Tract 8.03,1.444991,6119,3944,2104,3158,71,1937.6,4234.6,64.5,34.4
48453000205,Census Tract 2.05,1.512162,6111,3768,2281,4186,62,1459.9,4041.2,61.7,37.3
48453000700,Census Tract 7,1.615143,6102,3004,3005,1411,93,4324.6,3778.0,49.2,49.2
48453000804,Census Tract 8.04,1.047634,6082,3408,2610,2419,64,2514.3,5805.5,56.0,42.9
48453030600,Census Tract 306,3.51972,6070,4213,1797,5879,60,1032.5,1724.6,69.4,29.6
48453002113,Census Tract 21.13,2.094017,6047,3978,2000,3484,69,1735.6,2887.8,65.8,33.1
48453000605,Census Tract 6.05,0.476629,6037,2985,2993,4645,59,1299.7,12666.0,49.4,49.6
48453002201,Census Tract 22.01,5.089677,6000,3793,2146,2114,61,2838.2,1178.9,63.2,35.8
48453002442,Census Tract 24.42,1.237089,5991,4161,1393,3426,437,1748.7,4842.8,69.5,23.3
48453002307,Census Tract 23.07,2.119483,5966,3718,2196,5325,52,1120.4,2814.8,62.3,36.8
48453000307,Census Tract 3.07,1.214341,5911,4003,1848,1841,60,3210.8,4867.7,67.7,31.3
48453002003,Census Tract 20.03,2.044867,5909,3974,1877,4005,58,1475.4,2889.7,67.3,31.8
48453030000,Census Tract 300,5.399226,5902,4208,1618,4933,76,1196.4,1093.1,71.3,27.4
48453042200,Census Tract 422,1.740637,5863,3587,2236,4008,40,1462.8,3368.3,61.2,38.1
48453002451,Census Tract 24.51,4.601289,5858,4369,1416,7587,73,772.1,1273.1,74.6,24.2
48453044900,Census Tract 449,15.429063,5802,3397,2356,8901,49,651.8,376.0,58.5,40.6
48453031700,Census Tract 317,2.514694,5780,4101,1606,4509,73,1281.9,2298.5,71.0,27.8
48453002315,Census Tract 23.15,0.477836,5705,3853,1780,3027,72,1884.7,11939.2,67.5,31.2
48453041000,Census Tract 410,2.45925,5664,3772,1862,7089,30,799.0,2303.1,66.6,32.9
48453002002,Census Tract 20.02,1.589727,5639,3894,1698,2975,47,1895.5,3547.1,69.1,30.1
48453034800,Census Tract 348,4.338414,5464,3697,1644,5129,123,1065.3,1259.4,67.7,30.1
48453040100,Census Tract 401,1.520763,5377,3515,1833,4302,29,1249.9,3535.7,65.4,34.1
48453001308,Census Tract 13.08,1.275625,5366,3700,1607,2927,59,1833.3,4206.6,69.0,29.9
48453034200,Census Tract 342,2.188767,5363,3531,1749,6365,83,842.6,2450.2,65.8,32.6
48453034300,Census Tract 343,4.275827,5333,3389,1873,4893,71,1089.9,1247.2,63.5,35.1
48453001310,Census Tract 13.10,0.635009,5291,2867,2365,3489,59,1516.5,8332.2,54.2,44.7
48453002438,Census Tract 24.38,5.440575,5269,3625,1585,7319,59,719.9,968.5,68.8,30.1
48453002424,Census Tract 24.24,2.76493,5258,3629,1559,3500,70,1502.3,1901.7,69.0,29.7
48453000308,Census Tract 3.08,1.46697,5215,3282,1825,2698,108,1932.9,3554.9,62.9,35.0
48453032200,Census Tract 322,1.532713,5199,3437,1714,2251,48,2309.6,3392.0,66.1,33.0
48453002500,Census Tract 25,3.419935,5190,3503,1636,5540,51,936.8,1517.6,67.5,31.5
48453043200,Census Tract 432,1.025849,5171,3239,1894,2923,38,1769.1,5040.7,62.6,36.6
48453002324,Census Tract 23.24,0.318534,5087,3293,1724,1671,70,3044.3,15970.0,64.7,33.9
48453045200,Census Tract 452,1.687989,5048,3472,1530,4226,46,1194.5,2990.5,68.8,30.3
48453001402,Census Tract 14.02,1.305667,5033,3351,1624,2552,58,1972.2,3854.7,66.6,32.3
48453043300,Census Tract 433,1.146286,5033,3706,1292,3708,35,1357.3,4390.7,73.6,25.7
48453040200,Census Tract 402,1.446875,5019,3283,1695,3013,41,1665.8,3468.9,65.4,33.8
48453031900,Census Tract 319,5.355764,5000,3437,1496,6160,67,811.7,933.6,68.7,29.9
48453032500,Census Tract 325,3.166357,4998,3379,1541,4759,78,1050.2,1578.5,67.6,30.8
48453045000,Census Tract 450,5.377022,4971,2804,2102,2554,65,1946.4,924.5,56.4,42.3
48453031300,Census Tract 313,4.720184,4929,2920,1957,4527,52,1088.8,1044.2,59.2,39.7
